Tipo de Item,Resumo,Descrição,Etiquetas
Story,"US-AUTH-001: Registro de Usuário","{panel:title=User Story}
*Como* visitante
*Eu quero* registrar uma nova conta
*Para que* eu possa reservar ingressos de cinema
{panel}

{panel:title=Critérios de Aceitação}
* Usuário pode inserir nome, e-mail e senha
* Sistema valida o formato do e-mail e senha
* Sistema impede registros de e-mails duplicados
* Após o registro bem-sucedido, o usuário é redirecionado para a página de login, autenticado
{panel}","US-AUTH-001 Requirement"
Story,"US-AUTH-002: Login de Usuário","{panel:title=User Story}
*Como* usuário registrado
*Eu quero* fazer login na minha conta
*Para que* eu possa acessar recursos personalizados
{panel}

{panel:title=Critérios de Aceitação}
* Usuário pode inserir e-mail e senha
* Sistema autentica credenciais válidas
* Sistema mantém sessão do usuário através de token JWT
* Usuário é redirecionado para a página inicial após login bem-sucedido
{panel}","US-AUTH-002 Requirement"
Story,"US-AUTH-003: Logout de Usuário","{panel:title=User Story}
*Como* usuário logado
*Eu quero* sair da minha conta
*Para que* minha sessão seja encerrada
{panel}

{panel:title=Critérios de Aceitação}
* Usuário pode fazer logout através do menu de navegação
* Após o logout, rotas protegidas não são mais acessíveis
* Token JWT é removido do localStorage
{panel}","US-AUTH-003 Requirement"
Story,"US-AUTH-004: Visualizar e Gerenciar Perfil do Usuário","{panel:title=User Story}
*Como* usuário logado
*Eu quero* visualizar e atualizar minhas informações de perfil
*Para que* eu possa manter meus dados atualizados
{panel}

{panel:title=Critérios de Aceitação}
* Perfil exibe nome do usuário, e-mail e função da conta
* Usuário pode editar seu nome completo
* Sistema indica visualmente os campos que foram alterados
* Sistema confirma sucesso após salvar alterações
* Interface exibe mensagem de confirmação após atualização bem-sucedida
* Página de perfil é separada da página de reservas para melhor organização
{panel}","US-AUTH-004 Requirement"
Story,"US-HOME-001: Página Inicial Atrativa","{panel:title=User Story}
*Como* usuário (visitante ou autenticado)
*Eu quero* ter uma visão geral e atrativa da aplicação ao entrar na página inicial
*Para que* eu possa navegar facilmente e entender os serviços oferecidos
{panel}

{panel:title=Critérios de Aceitação}
* Página inicial exibe banner com informações sobre o cinema
* Exibe uma seção destacada de ""Filmes em Cartaz"" com pôsteres em tamanho adequado
* Layout responsivo que se adapta a diferentes tamanhos de tela
* Links rápidos para principais áreas da aplicação
* Acesso fácil à navegação principal através do cabeçalho
* Usuários autenticados veem opções personalizadas no menu
{panel}","US-HOME-001 Requirement"
Story,"US-MOVIE-001: Navegar na Lista de Filmes","{panel:title=User Story}
*Como* usuário (visitante ou autenticado)
*Eu quero* navegar pelos filmes disponíveis
*Para que* eu possa descobrir filmes para assistir
{panel}

{panel:title=Critérios de Aceitação}
* Usuário pode visualizar uma lista dos filmes em exibição com layout em grid
* Filmes são exibidos com pôster grande e de alta qualidade
* Cards de filmes mostram título, classificação e gêneros
* Cards incluem duração do filme e data de lançamento
* Sistema adapta o layout para diferentes tamanhos de tela (responsivo)
* Usuário consegue acessar detalhes do filme com um clique
{panel}","US-MOVIE-001 Requirement"
Story,"US-MOVIE-002: Visualizar Detalhes do Filme","{panel:title=User Story}
*Como* usuário (visitante ou autenticado)
*Eu quero* visualizar informações detalhadas sobre um filme
*Para que* eu possa decidir se quero assisti-lo
{panel}

{panel:title=Critérios de Aceitação}
* Detalhes incluem sinopse, elenco, diretor, data de lançamento, duração
* Página de detalhes mostra pôster do filme
* Página exibe horários de sessões disponíveis
* Usuário pode navegar para a reserva a partir dos horários disponíveis
{panel}","US-MOVIE-002 Requirement"
Story,"US-SESSION-001: Visualizar Horários de Sessões","{panel:title=User Story}
*Como* usuário (visitante ou autenticado)
*Eu quero* visualizar horários para um filme específico
*Para que* eu possa planejar quando assisti-lo
{panel}

{panel:title=Critérios de Aceitação}
* Usuário pode ver horários disponíveis para um filme selecionado
* Horários exibem data, hora, teatro e disponibilidade
* Usuário pode navegar para a seleção de assentos de um horário
{panel}","US-SESSION-001 Requirement"
Story,"US-RESERVE-001: Selecionar Assentos para Reserva","{panel:title=User Story}
*Como* usuário logado
*Eu quero* selecionar assentos para uma sessão de filme
*Para que* eu possa reservar minha localização preferida
{panel}

{panel:title=Critérios de Aceitação}
* Usuário pode visualizar o layout de assentos do teatro
* Assentos são codificados por cores conforme disponibilidade
* Usuário pode selecionar múltiplos assentos disponíveis
* Usuário não pode selecionar assentos já reservados
* Sistema mostra o subtotal à medida que os assentos são selecionados
{panel}","US-RESERVE-001 Requirement"
Story,"US-RESERVE-002: Processo de Checkout","{panel:title=User Story}
*Como* usuário logado
*Eu quero* finalizar o processo de compra dos ingressos
*Para que* eu possa garantir minha reserva
{panel}

{panel:title=Critérios de Aceitação}
* Usuário é redirecionado para a página de checkout após selecionar os assentos
* Página de checkout exibe resumo dos assentos selecionados
* Usuário pode visualizar o valor total da compra
* Usuário pode selecionar um método de pagamento (cartão de crédito, débito, PIX, transferência)
* Sistema processa o pagamento (simulado) e confirma a reserva
* Usuário recebe confirmação visual do sucesso da reserva
* Assentos selecionados são marcados como ocupados
{panel}","US-RESERVE-002 Requirement"
Story,"US-RESERVE-003: Visualizar Minhas Reservas","{panel:title=User Story}
*Como* usuário logado
*Eu quero* visualizar meu histórico de reservas
*Para que* eu possa verificar minhas reservas
{panel}

{panel:title=Critérios de Aceitação}
* Usuário pode acessar lista de suas reservas através do link ""Minhas Reservas"" no menu
* Reservas são exibidas em formato de card com informações visuais claras
* Cada reserva exibe filme, data, horário, cinema, assentos, status e método de pagamento
* Usuário pode visualizar o pôster do filme associado à reserva
* Sistema exibe indicadores visuais de status da reserva (confirmada, pendente, cancelada)
* Usuário pode acessar página dedicada de reservas separada das informações de perfil
{panel}","US-RESERVE-003 Requirement"
Story,"US-NAV-001: Navegação Intuitiva","{panel:title=User Story}
*Como* usuário da aplicação
*Eu quero* navegar facilmente entre as diferentes seções do site
*Para que* eu possa encontrar rapidamente as informações e funcionalidades que preciso
{panel}

{panel:title=Critérios de Aceitação}
* Cabeçalho está presente em todas as páginas com links para áreas principais
* Menu é responsivo e se adapta a diferentes tamanhos de tela (versão móvel)
* Usuário logado tem acesso à seções personalizadas como ""Minhas Reservas"" e ""Perfil""
* Breadcrumbs ou elementos de navegação indicam o caminho atual do usuário
* Links diretos para retornar à página anterior quando apropriado
* Feedback visual indica a página atual no menu de navegação
{panel}","US-NAV-001 Requirement"
Task,"CTC-001 (UI): Registro de novo usuário com sucesso pela interface","{code:gherkin}Dado que eu sou um visitante na página de registro
Quando eu preencho os campos de nome, e-mail (único) e senha com dados válidos
E clico no botão de registrar
Então o sistema deve criar a nova conta
E eu devo ser redirecionado para a página de login ou para a home já autenticado{code}","UI US-AUTH-001"
Task,"CTC-001_API (API): Registro de novo usuário com sucesso pela API","{code:gherkin}Dado que eu possuo dados válidos de um novo usuário (nome, e-mail único, senha)
Quando eu envio uma requisição POST para o endpoint ""/auth/register"" com esses dados
Então a resposta deve ter o status code 201
E o corpo da resposta deve conter os dados do usuário criado (sem a senha){code}","API US-AUTH-001"
Task,"CTC-002_API (API): Tentativa de registro com e-mail já existente","{code:gherkin}Dado que o e-mail ""usuario.existente@teste.com"" já está cadastrado
Quando eu envio uma requisição POST para ""/auth/register"" com o mesmo e-mail
Então a resposta deve ter o status code 400
E o corpo da resposta deve conter uma mensagem de ""E-mail já está em uso""{code}","API US-AUTH-001 Negativo"
Task,"CTC-003_API (API): Tentativa de registro com formato de e-mail inválido","{code:gherkin}Dado que eu tenho um payload de registro
Quando eu envio uma requisição POST para ""/auth/register"" com o e-mail ""email-invalido""
Então a resposta deve ter o status code 400
E o corpo da resposta deve conter uma mensagem de erro sobre o formato do e-mail{code}","API US-AUTH-001 Negativo"
Task,"CTC-004 (UI): Login com credenciais válidas pela interface","{code:gherkin}Dado que eu sou um usuário registrado e estou na página de login
Quando eu insiro meu e-mail e senha corretos
E clico no botão de login
Então o sistema deve me autenticar com sucesso
E eu devo ser redirecionado para a página inicial
E um token JWT deve ser armazenado no localStorage do navegador{code}","UI US-AUTH-002 Smoke"
Task,"CTC-004_API (API): Login com credenciais válidas pela API","{code:gherkin}Dado que eu tenho as credenciais de um usuário válido
Quando eu envio uma requisição POST para o endpoint ""/auth/login""
Então a resposta deve ter o status code 200
E o corpo da resposta deve conter um ""accessToken""{code}","API US-AUTH-002 Smoke"
Task,"CTC-005 (UI): Tentativa de login com senha incorreta","{code:gherkin}Dado que eu sou um usuário registrado e estou na página de login
Quando eu insiro meu e-mail correto e uma senha incorreta
E clico no botão de login
Então o sistema deve exibir uma mensagem de erro de ""credenciais inválidas""
E eu devo permanecer na página de login{code}","UI US-AUTH-002 Negativo"
Task,"CTC-005_API (API): Tentativa de login com credenciais inválidas pela API","{code:gherkin}Dado que eu tenho as credenciais de um usuário com senha incorreta
Quando eu envio uma requisição POST para o endpoint ""/auth/login""
Então a resposta deve ter o status code 401
E o corpo da resposta deve conter uma mensagem de ""Credenciais inválidas""{code}","API US-AUTH-002 Negativo"
Task,"CTC-006 (UI): Logout de usuário autenticado","{code:gherkin}Dado que eu sou um usuário logado no sistema
Quando eu clico na opção ""Sair"" no menu de navegação
Então o token JWT deve ser removido do localStorage
E eu devo ser redirecionado para a página de login ou inicial (como visitante){code}","UI US-AUTH-003"
Task,"CTC-007 (UI): Tentativa de acesso a rota protegida após logout","{code:gherkin}Dado que eu realizei o logout da minha conta
Quando eu tento acessar a URL da página ""Minhas Reservas"" diretamente
Então o sistema deve me redirecionar para a página de login
E eu não devo conseguir visualizar a página de reservas{code}","UI US-AUTH-003 Negativo"
Task,"CTC-007_API (API): Tentativa de acesso a rota protegida com token inválido/expirado","{code:gherkin}Dado que eu tenho um token de autenticação inválido ou expirado
Quando eu tento enviar uma requisição GET para a rota protegida ""/auth/me"" com esse token
Então a resposta deve ter o status code 401
E o corpo da resposta deve conter uma mensagem de ""Token inválido"" ou ""Não autorizado""{code}","API US-AUTH-003 Negativo"
Task,"CTC-008 (UI): Visualizar informações do perfil","{code:gherkin}Dado que eu sou um usuário logado no sistema
Quando eu acesso a minha página de perfil
Então eu devo ver meu nome, e-mail e função (role) corretamente exibidos{code}","UI US-AUTH-004"
Task,"CTC-008_API (API): Visualizar informações do perfil pela API","{code:gherkin}Dado que eu estou autenticado com um token de usuário válido
Quando eu envio uma requisição GET para o endpoint ""/auth/me""
Então a resposta deve ter o status code 200
E o corpo da resposta deve conter meu nome, e-mail e função (role){code}","API US-AUTH-004"
Task,"CTC-009 (UI): Atualizar nome do perfil com sucesso","{code:gherkin}Dado que eu estou na minha página de perfil
Quando eu edito o campo ""Nome Completo"" com um novo valor
E clico no botão ""Salvar Alterações""
Então o sistema deve exibir uma mensagem de confirmação de sucesso
E o novo nome deve ser exibido na página{code}","UI US-AUTH-004"
Task,"CTC-009_API (API): Atualizar nome do perfil pela API","{code:gherkin}Dado que eu estou autenticado com um token de usuário válido
Quando eu envio uma requisição PUT para o endpoint ""/auth/profile"" com um novo nome
Então a resposta deve ter o status code 200
E o corpo da resposta deve conter os dados atualizados do usuário{code}","API US-AUTH-004"
Task,"CTC-010 (UI): Visualizar lista de filmes em cartaz","{code:gherkin}Dado que eu acesso a página inicial da aplicação
Quando eu rolo a tela até a seção ""Filmes em Cartaz""
Então eu devo ver uma lista de filmes em formato de grid
E cada filme deve exibir seu pôster, título, classificação e gêneros{code}","UI US-MOVIE-001 Smoke"
Task,"CTC-010_API (API): Listar filmes pela API","{code:gherkin}Dado que existem filmes cadastrados no sistema
Quando eu envio uma requisição GET para o endpoint ""/movies""
Então a resposta deve ter o status code 200
E o corpo da resposta deve ser uma lista (array) de filmes
E cada filme na lista deve conter título, pôster e gêneros{code}","API US-MOVIE-001 Smoke"
Task,"CTC-011 (UI): Acessar detalhes de um filme a partir da lista","{code:gherkin}Dado que eu estou visualizando a lista de filmes em cartaz
Quando eu clico no card de um filme específico
Então eu devo ser redirecionado para a página de detalhes daquele filme{code}","UI US-MOVIE-001"
Task,"CTC-012 (UI): Visualizar informações detalhadas de um filme","{code:gherkin}Dado que eu estou na página de detalhes de um filme
Então eu devo visualizar a sinopse, elenco, diretor, data de lançamento e duração do filme
E uma lista de horários de sessões disponíveis deve ser mostrada{code}","UI US-MOVIE-002"
Task,"CTC-012_API (API): Buscar detalhes de um filme pela API","{code:gherkin}Dado que existe um filme com um ID conhecido
Quando eu envio uma requisição GET para o endpoint ""/movies/{id_do_filme}""
Então a resposta deve ter o status code 200
E o corpo da resposta deve conter a sinopse, elenco, diretor e duração do filme{code}","API US-MOVIE-002"
Task,"CTC-013 (UI): Navegar para seleção de assentos a partir de um horário","{code:gherkin}Dado que eu estou na página de detalhes de um filme
Quando eu clico em um horário de sessão disponível
Então eu devo ser redirecionado para a página de seleção de assentos para aquela sessão
E a página deve exibir a data, hora e cinema da sessão escolhida{code}","UI US-SESSION-001"
Task,"CTC-013_API (API): Listar sessões de um filme pela API","{code:gherkin}Dado que existem sessões cadastradas para um filme específico
Quando eu envio uma requisição GET para o endpoint ""/sessions"" (ou ""/movies/{id}/sessions"")
Então a resposta deve ter o status code 200
E o corpo da resposta deve ser uma lista de sessões
E cada sessão deve conter data, hora, ID do ""theater"" e disponibilidade{code}","API US-SESSION-001"
Task,"CTC-014 (UI): Selecionar assentos disponíveis","{code:gherkin}Dado que eu sou um usuário logado e estou na página de seleção de assentos
Quando eu clico em um ou mais assentos marcados como ""disponível""
Então os assentos selecionados devem mudar de cor para ""selecionado""
E o subtotal da compra deve ser atualizado para refletir o número de assentos{code}","UI US-RESERVE-001"
Task,"CTC-015 (UI): Tentativa de selecionar assento já reservado","{code:gherkin}Dado que eu estou na página de seleção de assentos
Quando eu clico em um assento marcado como ""ocupado""
Então o estado do assento não deve ser alterado
E o subtotal da compra não deve ser modificado{code}","UI US-RESERVE-001 Negativo"
Task,"CTC-016 (UI): Finalizar uma reserva com sucesso","{code:gherkin}Dado que eu selecionei meus assentos e cliquei para prosseguir
Quando eu sou redirecionado para a página de checkout
E eu seleciono um método de pagamento
E clico em ""Confirmar Reserva""
Então o sistema deve processar o pagamento (simulado)
E uma confirmação visual de sucesso da reserva deve ser exibida{code}","UI US-RESERVE-002"
Task,"CTC-016_API (API): Criar uma reserva pela API","{code:gherkin}Dado que eu estou autenticado como usuário
E eu tenho o ID de uma sessão válida e os IDs de assentos disponíveis
Quando eu envio uma requisição POST para o endpoint ""/reservations"" com esses dados
Então a resposta deve ter o status code 201
E o corpo da resposta deve conter os detalhes da reserva confirmada{code}","API US-RESERVE-002"
Task,"CTC-017_API (API): Verificar se assentos ficam ocupados após reserva","{code:gherkin}Dado que uma reserva foi criada para os assentos ""A1"" e ""A2"" na sessão ""S1""
Quando eu envio uma requisição GET para ""/sessions/{id_sessao_S1}""
Então o estado dos assentos ""A1"" e ""A2"" deve ser ""ocupado""{code}","API US-RESERVE-002"
Task,"CTC-017_NEGATIVE_API (API): Tentar criar reserva para assento já ocupado","{code:gherkin}Dado que o assento ""A1"" da sessão ""S1"" já está reservado
Quando eu envio uma requisição POST para ""/reservations"" tentando reservar o assento ""A1""
Então a resposta deve ter o status code 400
E o corpo da resposta deve conter uma mensagem de ""Assento(s) não disponível(is)""{code}","API US-RESERVE-002 Negativo"
Task,"CTC-018 (UI): Acessar e visualizar histórico de reservas","{code:gherkin}Dado que eu sou um usuário logado e possuo reservas anteriores
Quando eu clico no link ""Minhas Reservas"" no menu
Então eu devo ser redirecionado para a página de histórico de reservas
E devo ver uma lista de cards, cada um representando uma reserva
E cada card deve exibir o pôster do filme, data, horário, assentos e status da reserva{code}","UI US-RESERVE-003"
Task,"CTC-018_API (API): Listar minhas reservas pela API","{code:gherkin}Dado que eu estou autenticado como um usuário que possui reservas
Quando eu envio uma requisição GET para o endpoint ""/reservations"" (ou ""/users/me/reservations"")
Então a resposta deve ter o status code 200
E o corpo da resposta deve ser uma lista das minhas reservas
E cada reserva deve conter os detalhes do filme, sessão e assentos{code}","API US-RESERVE-003"
Task,"CTC-019 (UI): Verificar elementos da página inicial para visitante","{code:gherkin}Dado que eu sou um visitante acessando a página inicial
Então eu devo ver um banner principal
E a seção ""Filmes em Cartaz""
E um cabeçalho com links de navegação para Login e Registro{code}","UI US-HOME-001 US-NAV-001"
Task,"CTC-020 (UI): Verificar elementos da página inicial para usuário autenticado","{code:gherkin}Dado que eu sou um usuário logado acessando a página inicial
Então eu devo ver um banner principal
E a seção ""Filmes em Cartaz""
E um cabeçalho com links de navegação para ""Minhas Reservas"" e ""Perfil""{code}","UI US-HOME-001 US-NAV-001"
Task,"CTC-021 (UI): Verificar consistência do cabeçalho de navegação","{code:gherkin}Dado que eu estou navegando pela aplicação
Quando eu acesso diferentes páginas como a Home, Detalhes de um Filme e Perfil
Então o cabeçalho principal de navegação deve estar sempre visível no topo da página{code}","UI US-NAV-001"
Task,"CTC-022 (UI): Verificar responsividade do menu de navegação","{code:gherkin}Dado que eu estou acessando a aplicação
Quando eu redimensiono a janela do navegador para uma largura de dispositivo móvel
Então o menu de navegação principal deve se transformar em um menu ""hambúrguer"" (ícone de menu)
E ao clicar no ícone, as opções de navegação devem ser exibidas{code}","UI US-NAV-001"
Task,"CTC-023_API (API): Listar todas as salas (Theaters) com sucesso","{code:gherkin}Dado que existem salas de cinema cadastradas no banco de dados
Quando eu envio uma requisição GET para o endpoint ""/theaters""
Então a resposta deve ter o status code 200
E o corpo da resposta deve ser uma lista (array) contendo todas as salas{code}","API Theaters"
Task,"CTC-024_API (API): Buscar uma sala (Theater) por ID existente","{code:gherkin}Dado que existe uma sala com um ID conhecido
Quando eu envio uma requisição GET para o endpoint ""/theaters/{id_da_sala}""
Então a resposta deve ter o status code 200
E o corpo da resposta deve conter os dados da sala específica (ex: nome, capacidade){code}","API Theaters"
Task,"CTC-025_API (API): Tentar buscar uma sala (Theater) por ID inexistente","{code:gherkin}Dado que um ID de sala não existe no banco de dados
Quando eu envio uma requisição GET para o endpoint ""/theaters/{id_inexistente}""
Então a resposta deve ter o status code 404
E o corpo da resposta deve conter uma mensagem de ""Sala não encontrada""{code}","API Theaters Negativo"
Task,"CTC-026_API (API): Criar uma nova sala (Theater) com sucesso (requer auth)","{code:gherkin}Dado que eu estou autenticado com um token de usuário válido
E eu tenho um payload com dados válidos de uma nova sala (ex: nome ""Sala 5"", capacidade 150)
Quando eu envio uma requisição POST para o endpoint ""/theaters"" com esse payload
Então a resposta deve ter o status code 201
E o corpo da resposta deve conter os dados da sala recém-criada{code}","API Theaters"
Task,"CTC-027_API (API): Tentar criar uma nova sala (Theater) sem autenticação","{code:gherkin}Dado que eu não estou autenticado
Quando eu envio uma requisição POST para o endpoint ""/theaters"" com dados de uma nova sala
Então a resposta deve ter o status code 401
E o corpo da resposta deve conter uma mensagem de erro de ""Não autorizado""{code}","API Theaters Negativo"
Task,"CTC-028_API (API): Atualizar uma sala (Theater) existente com sucesso (requer auth)","{code:gherkin}Dado que eu estou autenticado com um token de usuário válido
E existe uma sala com um ID conhecido
Quando eu envio uma requisição PUT para ""/theaters/{id_da_sala}"" com um novo nome
Então a resposta deve ter o status code 200
E o corpo da resposta deve conter os dados da sala com o nome atualizado{code}","API Theaters"
Task,"CTC-029_API (API): Tentar atualizar uma sala (Theater) sem autenticação","{code:gherkin}Dado que eu não estou autenticado
E existe uma sala com um ID conhecido
Quando eu envio uma requisição PUT para ""/theaters/{id_da_sala}"" com novos dados
Então a resposta deve ter o status code 401
E o corpo da resposta deve conter uma mensagem de erro de ""Não autorizado""{code}","API Theaters Negativo"
Task,"CTC-030_API (API): Deletar uma sala (Theater) existente com sucesso (requer auth)","{code:gherkin}Dado que eu estou autenticado com um token de usuário válido
E existe uma sala com um ID conhecido (que não possui sessões futuras atreladas)
Quando eu envio uma requisição DELETE para o endpoint ""/theaters/{id_da_sala}""
Então a resposta deve ter o status code 200 (ou 204 No Content)
E a sala não deve mais ser encontrada em uma busca por ID{code}","API Theaters"
Task,"CTC-031_API (API): Tentar deletar uma sala (Theater) sem autenticação","{code:gherkin}Dado que eu não estou autenticado
E existe uma sala com um ID conhecido
Quando eu envio uma requisição DELETE para o endpoint ""/theaters/{id_da_sala}""
Então a resposta deve ter o status code 401
E o corpo da resposta deve conter uma mensagem de erro de ""Não autorizado""{code}","API Theaters Negativo"
